2018-01-31 19:52:58  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:    50 , avg_batch_acc: 0.5000  avg_batch_loss: 3.6618  learning_rate 0.000500
2018-01-31 19:54:13  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   100 , avg_batch_acc: 0.7656  avg_batch_loss: 1.1174  learning_rate 0.000500
2018-01-31 19:55:27  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   150 , avg_batch_acc: 0.8125  avg_batch_loss: 0.3812  learning_rate 0.000500
2018-01-31 19:56:40  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   200 , avg_batch_acc: 0.7812  avg_batch_loss: 1.0537  learning_rate 0.000500
2018-01-31 19:57:56  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   250 , avg_batch_acc: 0.8906  avg_batch_loss: 0.3709  learning_rate 0.000500
2018-01-31 19:59:12  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   300 , avg_batch_acc: 0.8438  avg_batch_loss: 0.4112  learning_rate 0.000500
2018-01-31 20:00:25  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   350 , avg_batch_acc: 0.7969  avg_batch_loss: 0.4678  learning_rate 0.000500
2018-01-31 20:01:39  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   400 , avg_batch_acc: 0.8125  avg_batch_loss: 0.6068  learning_rate 0.000500
2018-01-31 20:02:56  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   450 , avg_batch_acc: 0.8750  avg_batch_loss: 0.3468  learning_rate 0.000500
2018-01-31 20:04:11  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   500 , avg_batch_acc: 0.8750  avg_batch_loss: 0.5543  learning_rate 0.000500
2018-01-31 20:05:28  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   550 , avg_batch_acc: 0.8906  avg_batch_loss: 0.5048  learning_rate 0.000500
2018-01-31 20:06:44  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   600 , avg_batch_acc: 0.8438  avg_batch_loss: 0.3739  learning_rate 0.000500
2018-01-31 20:08:01  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   650 , avg_batch_acc: 0.8906  avg_batch_loss: 0.2304  learning_rate 0.000500
2018-01-31 20:09:20  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   700 , avg_batch_acc: 0.9062  avg_batch_loss: 0.3968  learning_rate 0.000500
2018-01-31 20:10:42  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   750 , avg_batch_acc: 0.9062  avg_batch_loss: 0.3444  learning_rate 0.000500
2018-01-31 20:12:00  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   800 , avg_batch_acc: 0.8750  avg_batch_loss: 0.4445  learning_rate 0.000500
2018-01-31 20:13:19  TENSOR_MOMENTUM_LRELU epoch: 0 ,  batch:   850 , avg_batch_acc: 0.8750  avg_batch_loss: 0.5144  learning_rate 0.000500
