2018-01-31 20:08:12  TENSOR_ADAM_LRELU epoch: 0 ,  batch:    50 , avg_batch_acc: 0.6562  avg_batch_loss: 1.5435  learning_rate 0.000500
2018-01-31 20:09:33  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   100 , avg_batch_acc: 0.6719  avg_batch_loss: 1.3339  learning_rate 0.000500
2018-01-31 20:10:56  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   150 , avg_batch_acc: 0.8906  avg_batch_loss: 0.4431  learning_rate 0.000500
2018-01-31 20:12:17  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   200 , avg_batch_acc: 0.7812  avg_batch_loss: 0.7257  learning_rate 0.000500
2018-01-31 20:13:37  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   250 , avg_batch_acc: 0.8125  avg_batch_loss: 0.7375  learning_rate 0.000500
2018-01-31 20:14:59  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   300 , avg_batch_acc: 0.7500  avg_batch_loss: 0.7281  learning_rate 0.000500
2018-01-31 20:16:18  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   350 , avg_batch_acc: 0.8281  avg_batch_loss: 0.5159  learning_rate 0.000500
2018-01-31 20:17:37  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   400 , avg_batch_acc: 0.8438  avg_batch_loss: 0.5515  learning_rate 0.000500
2018-01-31 20:18:56  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   450 , avg_batch_acc: 0.8906  avg_batch_loss: 0.3572  learning_rate 0.000500
2018-01-31 20:20:14  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   500 , avg_batch_acc: 0.7812  avg_batch_loss: 0.7764  learning_rate 0.000500
2018-01-31 20:21:32  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   550 , avg_batch_acc: 0.8906  avg_batch_loss: 0.4551  learning_rate 0.000500
2018-01-31 20:22:51  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   600 , avg_batch_acc: 0.8750  avg_batch_loss: 0.5307  learning_rate 0.000500
2018-01-31 20:24:11  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   650 , avg_batch_acc: 0.9531  avg_batch_loss: 0.3357  learning_rate 0.000500
2018-01-31 20:25:31  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   700 , avg_batch_acc: 0.8438  avg_batch_loss: 0.5224  learning_rate 0.000500
2018-01-31 20:26:53  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   750 , avg_batch_acc: 0.8750  avg_batch_loss: 0.3635  learning_rate 0.000500
2018-01-31 20:28:16  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   800 , avg_batch_acc: 0.8281  avg_batch_loss: 0.3878  learning_rate 0.000500
2018-01-31 20:29:39  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   850 , avg_batch_acc: 0.8750  avg_batch_loss: 0.4291  learning_rate 0.000500
2018-01-31 20:31:01  TENSOR_ADAM_LRELU epoch: 0 ,  batch:   900 , avg_batch_acc: 0.8750  avg_batch_loss: 0.2950  learning_rate 0.000500
2018-01-31 20:31:59  epoch:     0 , train_acc: 0.8072  avg_train_loss: 1.3749
2018-01-31 20:35:19  epoch:     0 , val_acc: 0.9173  avg_val_loss: 0.2786
2018-01-31 20:36:41  TENSOR_ADAM_LRELU epoch: 1 ,  batch:    50 , avg_batch_acc: 0.8750  avg_batch_loss: 0.4822  learning_rate 0.000500
2018-01-31 20:38:03  TENSOR_ADAM_LRELU epoch: 1 ,  batch:   100 , avg_batch_acc: 0.9062  avg_batch_loss: 0.2879  learning_rate 0.000500
2018-01-31 20:39:28  TENSOR_ADAM_LRELU epoch: 1 ,  batch:   150 , avg_batch_acc: 0.9219  avg_batch_loss: 0.3124  learning_rate 0.000500
2018-01-31 20:40:52  TENSOR_ADAM_LRELU epoch: 1 ,  batch:   200 , avg_batch_acc: 0.9375  avg_batch_loss: 0.2049  learning_rate 0.000500
