2018-01-31 19:51:52  TENSOR_NAG_LRELU epoch: 0 ,  batch:    50 , avg_batch_acc: 0.5156  avg_batch_loss: 2.4904  learning_rate 0.000500
2018-01-31 19:53:04  TENSOR_NAG_LRELU epoch: 0 ,  batch:   100 , avg_batch_acc: 0.6562  avg_batch_loss: 2.2469  learning_rate 0.000500
2018-01-31 19:54:18  TENSOR_NAG_LRELU epoch: 0 ,  batch:   150 , avg_batch_acc: 0.7344  avg_batch_loss: 1.1982  learning_rate 0.000500
2018-01-31 19:55:31  TENSOR_NAG_LRELU epoch: 0 ,  batch:   200 , avg_batch_acc: 0.8750  avg_batch_loss: 0.5196  learning_rate 0.000500
2018-01-31 19:56:42  TENSOR_NAG_LRELU epoch: 0 ,  batch:   250 , avg_batch_acc: 0.8281  avg_batch_loss: 0.4713  learning_rate 0.000500
2018-01-31 19:57:55  TENSOR_NAG_LRELU epoch: 0 ,  batch:   300 , avg_batch_acc: 0.8281  avg_batch_loss: 0.5601  learning_rate 0.000500
2018-01-31 19:59:08  TENSOR_NAG_LRELU epoch: 0 ,  batch:   350 , avg_batch_acc: 0.8438  avg_batch_loss: 0.8237  learning_rate 0.000500
2018-01-31 20:00:21  TENSOR_NAG_LRELU epoch: 0 ,  batch:   400 , avg_batch_acc: 0.8438  avg_batch_loss: 0.6545  learning_rate 0.000500
2018-01-31 20:01:33  TENSOR_NAG_LRELU epoch: 0 ,  batch:   450 , avg_batch_acc: 0.9219  avg_batch_loss: 0.1853  learning_rate 0.000500
2018-01-31 20:02:47  TENSOR_NAG_LRELU epoch: 0 ,  batch:   500 , avg_batch_acc: 0.8125  avg_batch_loss: 0.7165  learning_rate 0.000500
2018-01-31 20:03:57  TENSOR_NAG_LRELU epoch: 0 ,  batch:   550 , avg_batch_acc: 0.7344  avg_batch_loss: 0.7874  learning_rate 0.000500
